1,Senior Food Technologist,"[Food Technologist,Product Specialist Microbiology]","[Microbiology,microsoft powerpoint,microsoft office,microsoft excel,microsoft project management,Microsoft word,Outlook,Internet explorer,Marketing/Sales,Quality Control,Quality Assurance,Research and development,Problem solving]"
2,Senior Developer,"[Senior Developer,Senior Developer]","[MVC5,JQuery,C#,BootStrap,REST Services,EntityFrameWork 6,SQL Databse Development,SSRS,SSIS]"
3,Social Manager,[Junior Developer],"[C# Developer,MYSQL,PHP,javascript,CSS3,HTML5,wordpress,AJAX,RDBMS,Magento,C++ Developer,JAVA Developer]"
4,Database Developer Application Programmer,[Programmer Technician],"[Programming,Technical Support]"
5,Analyst Developer,[],"[Java,delphi,Excel,excel,Bloomberg]"
6,Systems Developer,[Intern],"[communication skills,Microsoft office,MVC,JavaScript,css,codeigniter,html,PHP,Microsoft excel,Photoshop,java]"
7,Senior Developer,"[Senior Python Developer,Systems Developer]","[PHP,SQL,Javascript,Linux,Python,PostgreSQL,AWS,Embedded Linux,GIT,SOA,HA Proxy,Gerrit,Sentry,C,.Net,AWS RDS,Java SE,Java ME,C#,MySQL,MS SQL Server,EC2]"
8,Principal System Developer,"[Quality Assurance Test Analyst,Survey Statistician]","[Test Management,sas,Open Office,Microsoft Office,Project Management,SQL]"
9,Software Developer,"[Programmer,Programmer]","[Adabas,Debugging,Natural,jcl,Cobol,Unix]"
10,Intern Developer,[Administrator PA],"[Emails,reviews,files,Typing,Personally to adapt,Ambitious,Computer literacy]"
11,Developer,"[Managing Director,Mid West Sales Director]","[Word, Excel, Power Point]"
12,Oracle Apex Developer,"[Call Center Agent,Oracle DBA]","[Oracle Pl/Sql,Database Desing, Implementation And Management,Oracle Sql,Computer Skills (Hardware, Software, Networking),Microsoft Sql Server,Graphic Design,Sound Systems,C#]"
13,Developer,[Programmer],"[Analitcal skills,Mentoring new developers,Problem sloving,C#,reporting,MS SQL,ssis,Training,Testing,ASP.NET,MVC,JAVASCRIPT,CSS]"
14,Junior Java Developer,[Graduate Software Engineer],"[Java Developer,Java Programming(SE & EE),Mysql,Network connectivity,FTP,TCP,css,html,vaadin,jsp,javascript,hibernate,python,C#,jason,ajax,.NET]"
15,Business Analyst,"[Java Developer Intern,Field Support Engineer]","[ASP .NET \uf06c,java,Oracle \uf06c,Gradle \uf06c,Microsoft Office,CSS,Visual paradigm,Microsoft Visio]"
16,Senior Developer,[Senior Developer],"[Software Development,Data,Project management,Analytics,SQL]"
17,Junior Digitilization Developer,[Technician],"[Java,VBA,C#,Javascript,Excel,html,MVC,css,.NET,SQL,Python,C++,Rapid Prototyping,Communication,Leadership,Meeting deadlines,Customer servece,PHP]"
18,Senior Software Developer,[Software Developer],"[SQL,Pl/Sql,Oracle,Pro C,PHP,Unix,Python,Borland C++]"
19,Independent Consultant,"[Microsoft Senior BI Developer,BI Consultant]","[Detailed,quick learner,methodical,analytical,See attached CV]"
20,Systems and Applications Support Analyst,"[Project Manager,Field Support Technician]","[Microsoft Office,Computer Hardware,Troubleshooting,Configuration Management,Database Administration,Backup,Operating Systems,Problem Solving,Networking,Change Management,Technical Training,Database Design,Business Process,Quality Control,Network Support,Disaster Recovery Planning,Microsoft Windows 2000,Microsoft Office 97,Microsoft Windows 98,Sales Support,Purchasing,Technical Support,Online Research,Call Center,Dispatching,Programming,C + +]"
21,Production Team lead,"[Java Developer,Developer]","[SVN,.NET,SQL,Cobol,jcl,Java,Linux,Jruby,C#,Cics]"
22,Embedded Software Developer,[Research & Development],"[Java,C++,3g/Hspa/Hspa+,Matlab,4g/Lte/Wimax,Project Management,Verilog,Vhdl,Process Design]"
23,ABAP Consultant,"[ABAP Consultant,ABAP Developer]",[Abap Development Design And Analysis]
24,Clinic Manageress,"[Agent,Resource Developer (Public Relations Officer and Fundraiser)]","[Pharmaceutical,Practice Management,Clinic Management,Public Relations,Marketing,Key Account Management,Sales,Veterinary,Dietician,Account management]"
25,Senior Manager Database Management,"[Software Architect,Team Development Manager Technical Specialist]","[Presentation Skills,Microsoft Sql Server,Taxation, Financial,Equity,Insurance,Pension/Provident Sys,Management,Visual Basic For Applications (Office Automation),Visual Basic (Ver 2 Through .Net),Systems Integration,Systems Design,Systems Analysis,Resource Planning,Project Management,Microsoft Sql Server T-Sql,Architectures - Ntier, Client Server Etc,Business Analysis,Development (Overall),Asp Web Development,Architectures - Legacy Mainframe Etc,Windows Workstation, Servers,C# .Net,Ibm Db2,Asp.Net,Architectures - .Net Framework,Microsoft Sna/Host Integration Server,Microsoft Biztalk Server,Oracle Rdbms,Microfocus Cobol,Oracle Pl/Sql,Product Quality Assurance,Human Resource And Payroll Systems,Microfocus Dialogue Systems,Oracle,Oracle Pro/Cobol,Oracle Developer 2000,As/400 Os,Dec Vax Openvms,Microsoft Visual C++,Java Programming,Assembler,Oracle Designer 2000,Linux]"
26,Developer,"[Internet Developer Web Applications Developer,Internet Developer]","[CSS,Xhtml,Asp.Net,XML,C#,ASP,SQL,XSL,Javascript,Ajax,Vb.Net]"
27,Software Developer C#.NET,[],"[BIZTALK,C#,CUSTOMER SERVICE,BI,SSIS,MVC,SQL,SSRS]"
28,Voice Biometrics,"[Java Developer,Manager]","[IVR,Nuance Product,java,communication skills,Voice Loggers,Manager,Avaya PABX,Specialist,Technical Support,Voice,Voice Biometrics,Avaya,Voice Specialist,NICE,Managerial,Nuance Voice Products,Software Design,Java]"
29,Sales Manager,"[Promotions Coordinator,FMCG Sales Representative]","[MS word,Power point and MS Excell,MS PROJECTS,Communication,Interpersonal,Managerial,Photoshop,Telephonic Skills and leader ship skills]"
