,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
0,"[Btech: Food Technology,National Diploma: Food Technology,Senior Certificate]","[Cape Herb & Spice,Greys Marine,Heinz Foods,Swift Silliker,Zemcor]","[Food technologist,New product development,auditor,inspections]","[Marketer & Technical Liaison,Quality Assurance Manager Haccp Team Leader,New Product Developer Technologist,Food Technologist,Quality Controller]",Senior Food Technologist,"[Food Technologist,Product Specialist Microbiology]","[Microbiology,microsoft powerpoint,microsoft office,microsoft excel,microsoft project management,Microsoft word,Outlook,Internet explorer,Marketing/Sales,Quality Control,Quality Assurance,Research and development,Problem solving]",1
1,"[B.Econ,Grade 12/Matric]","[Careerjunction,Gijima,Lateral Dynamics,Leisurebooks,Mixtelematics,Private,Return True]",[],"[Senior Developer,Senior Developer,Senior Developer,Senior Developer SNR Developer,Senior Developer]",Senior Developer,"[Senior Developer,Senior Developer]","[MVC5,JQuery,C#,BootStrap,REST Services,EntityFrameWork 6,SQL Databse Development,SSRS,SSIS]",2
2,"[Bsc in Computer Systems,Higher National Diploma in Information Technology,Senior Certificate]","[Bruce Records Studio,Crystal MAP]","[Web Developer,Application Developer,C# Developer]",[],Social Manager,[Junior Developer],"[C# Developer,MYSQL,PHP,javascript,CSS3,HTML5,wordpress,AJAX,RDBMS,Magento,C++ Developer,JAVA Developer]",3
3,[Advanced Diploma In Computer Science],"[Dynamic Data,Exor Petroleum]",[],[],Database Developer Application Programmer,[Programmer Technician],"[Programming,Technical Support]",4
4,[Mobile develipment],[MCA Consulting],[Analyst],[],Analyst Developer,[],"[Java,delphi,Excel,excel,Bloomberg]",5
5,"[Btech,National Diploma in IT]","[Accenture,HSRC]","[Software Tester,Business Analyst,Developer]",[],Systems Developer,[Intern],"[communication skills,Microsoft office,MVC,JavaScript,css,codeigniter,html,PHP,Microsoft excel,Photoshop,java]",6
6,"[Architecting on AWS (Associate),AWS Technical Essentials,National Diploma (Information Technology) - Incomplete,Standard Java Specialist Course,Fundamentals Of Ms Visual Basic 6,Mastering Web Application Development Using Ms Vi6,A+,Grade 10]","[Nu-Era Tool &amp; DIE,ICM International,Saon Group,Careerjunction,Ipulse Systems,Genox,Commuter Transport Engineering,Fastnet (Telkom)]","[Software Architect,Python Developer,Senior Python Developer]","[Senior Developer,Senior Developer,Developer,Developer,Web Development,System Administrator,Apprentice Toolmaker]",Senior Developer,"[Senior Python Developer,Systems Developer]","[PHP,SQL,Javascript,Linux,Python,PostgreSQL,AWS,Embedded Linux,GIT,SOA,HA Proxy,Gerrit,Sentry,C,.Net,AWS RDS,Java SE,Java ME,C#,MySQL,MS SQL Server,EC2]",7
7,"[Honours Bachelor of Science in statistics,Bsc]","[Experian,Statistics South Africa,University of South Africa (UNISA)]","[Analyst,Data Analyst,Test Analyst,Test Management]","[Academic and Research Assistant,Assistant Statistical Officer]",Principal System Developer,"[Quality Assurance Test Analyst,Survey Statistician]","[Test Management,sas,Open Office,Microsoft Office,Project Management,SQL]",8
8,"[Van Zyl And Pritchard Passed With A Symbol,B.Sc,Matric Exemption]","[Bull Computers,Comparex Africa,Liberty Life,The Empl Bureau of Africa]",[],[Computer Programmer],Software Developer,"[Programmer,Programmer]","[Adabas,Debugging,Natural,jcl,Cobol,Unix]",9
9,"[Technical Support,Matric]","[Old mutual,Secondary school]",[IT Support Assistant],[],Intern Developer,[Administrator PA],"[Emails,reviews,files,Typing,Personally to adapt,Ambitious,Computer literacy]",10
